SN,BT,WH,RV,LA,LO,AD
Alloggi Ticino,Alloggi Ticino SA,9,Tessin,46.1563005,8.9836056,Via Pedemontana 27 <br>6592 S.Antonino
Alloggi Ticino,Alloggi Ticino SA,9,Tessin,46.1563005,8.9836056,Via Pedemontana 27 <br>6592 S.Antonino
Alloggi Ticino,Alloggi Ticino SA,9,Tessin,46.1563005,8.9836056,Via Pedemontana 27 <br>6592 S.Antonino
Alloggi Ticino,Alloggi Ticino SA,12,Tessin,46.172726,8.9390623,Via alla Monda 12 <br>6515 Gudo
Alloggi Ticino,Alloggi Ticino SA,12,Tessin,46.1724417,8.9390569,Via alla Monda 14 <br>6515 Gudo
Alloggi Ticino,Alloggi Ticino SA,12,Tessin,46.1721574,8.9390515,Via alla Monda 16 <br>6515 Gudo
Alloggi Ticino,Alloggi Ticino SA,12,Tessin,45.9268646,8.9798911,Via Guasto 3 <br>6818 Melano
Alloggi Ticino,Alloggi Ticino SA,6,Tessin,46.2505131,9.0216509,Ai Brascéi 14 <br>6702 Claro
Alloggi Ticino,Alloggi Ticino SA,4,Tessin,46.2508144,9.0219839,Ai Brascéi 15 <br>6702 Claro
Andere Wohnformen,"Genossenschaft Andere Wohnformen, Stürlerhaus Altenberg",1,Bern-Solothurn,46.950668,7.4547372,Altenbergstrasse 60 B <br>3013 Bern
Arbon GAS,Genossenschaft Alterssiedlung Arbon,37,Ostschweiz,47.5146168,9.4312318,Kirchweg 10 <br>9320 Arbon
Bündnerstrasse WG,Wohngenossenschaft Bündnerstrasse,0,Nordwestschweiz,47.558803,7.5675654,Bündnerstrasse 45 <br>4055 Basel
Burgfelderstrasse,Wohngenossenschaft Burgfelderstrasse,7,Nordwestschweiz,47.568069,7.561623,Burgfelderstrasse 231 <br>4055 Basel
Clé de Sol,Soc. coop. d'habitation Clé de Sol,1,,47.2787165,7.368049,Rue Neuve 20 <br>2740 Moutier
Clos-Quiquerez,Société coopérative d'habitation Clos-Quiquerez,12,Romandie,47.3897421,7.3690278,Route de France 2 <br>2822 Courrou
Coopelia,"Coopelia, Coop. sociale pr l'Encouragem. à la constr. de Logts Ind. et Ass.",6,Romandie,46.7687946,6.6472307,Rue Jean-André-Venel 23C <br>1400 Yverdon-les-Bains
Coopelia,"Coopelia, Coop. sociale pr l'Encouragem. à la constr. de Logts Ind. et Ass.",6,Romandie,46.7687946,6.6472307,Rue Jean-André-Venel 23D <br>1400 Yverdon-les-Bains
Emile DUPONT,Fondation HBM Emile DUPONT,20,Romandie,46.1901176,6.1016839,Rue du Bois-Carrien 5 <br>1213 One
Farfalla,Wohnbaugenossenschaft Farfalla,6,Bern-Solothurn,46.8396515,7.6253186,Schloss-Strasse 43 <br>3672 Oberdiessbach
Farfalla,Wohnbaugenossenschaft Farfalla,0,Bern-Solothurn,46.8394106,7.6261245,Schloss-Strasse  <br>3672 Oberdiessbach
Graphis,Graphis Bau- und Wohngenossenschaft,26,Bern-Solothurn,47.2835971,7.9370313,Rotfarbstrasse  <br>4800 Zofingen
Graphis,Graphis Bau- und Wohngenossenschaft,80,Bern-Solothurn,47.4013385,8.5849494,Altwiesenstrasse  <br>8051 Zürich
Grünfeld,Wohngenossenschaft Grünfeld,0,Nordwestschweiz,47.5721698,7.6405049,Rüdinstrasse 30 <br>4125 Riehen
Grünmatt,Wohngenossenschaft Grünmatt,1,Nordwestschweiz,47.5537963,7.5623766,Im langen Loh 92 <br>4054 Basel
Habitat,Stiftung Habitat,0,Nordwestschweiz,47.5702027,7.6035693,Schwarzwaldallee 319 <br>4058 Basel
Hilfsfonds wgn,Hilfsfonds des wgn,0,Nordwestschweiz,47.5368978,7.6018445,Fürstensteinerstrasse 93 <br>4053 Basel
Huit et demi,Société coopérative d'habitation huit et demi,3,Romandie,46.2003205,6.0861406,Chemin des Blanchards 44 <br>1233 Berne
Huit et demi,Société coopérative d'habitation huit et demi,3,Romandie,46.2003205,6.0861406,Chemin des Blanchards 46 <br>1233 Berne
Lutertalpark,Genossenschaft Lutertalpark,39,Bern-Solothurn,46.9775487,7.4940295,Lutertalstrasse  <br>3065 Bolligen
Schrägwinkel,Wohnbaugenossenschaft Schrägwinkel,0,Bern-Solothurn,46.9060242,7.4585178,Talstrasse 67C <br>3122 Kehrsatz
Wogeno Solothurn,Wogeno Solothurn Genossenschaft,8,Bern-Solothurn,47.1977581,7.3889818,Geranienweg 3 <br>2540 Grenchen
Wogeno Solothurn,Wogeno Solothurn Genossenschaft,4,Bern-Solothurn,47.175186,7.3307377,Alte Landstrasse 58 <br>2542 Pieterlen
Wohnen im Alter Tübach,Genossenschaft Wohnen im Alter Tübach,6,Ostschweiz,47.4867194,9.4522869,Im Hermet 21 <br>9327 Tübach
,Aktiengesellschaft für Erstellung billiger Wohnhäuser in Winterthur,,Winterthur,47.4941477,8.7121952,Obere Schöntalstrasse 24 <br>8406 Winterthur
,gaiwo Genosssenschaft für Alters- und Invalidenwohnungen in Winterthur,,Winterthur,47.4979034,8.712641,Waldhofstrasse 5 <br>8400 Winterthur
,Baugenossenschaft Dietlikon-Brüttisellen (BGDB),,Zürich,47.420256,8.629992,Haldenstrasse 18 <br>8306 Brüttisellen
Vorstadt,DIE SCHÄCHLI Baugenossenschaft Dietikon,,Zürich,47.4085508,8.3997174,Vorstadtstrasse 25 <br>8953 Dietikon
,Wohnbaugenossenschaft Gewo Züri Ost,,Zürich,47.4010646,8.6269528,Kunklerstrasse 7a <br>8600 Dübendorf
,Genossenschaft Rothus-Wies,,Zürich,47.2497713,8.7005032,Asylstrasse 48 <br>8708 Männedorf
Zürcherstrasse,Bau- und Siedlungsgenossenschaft Höngg,,Zürich,47.4055491,8.4770409,Zürcherstrasse 20 <br>8102 Oberengstringen
Schulweg,Wohn- und Siedlungsgenossenschaft Uster (WSGU),,Zürich,47.3316525,8.712003,Schulweg 1 <br>8616 Riedikon
13. Etappe,Gemeinnützige Baugenossenschaft Limmattal (GBL),,Zürich,47.3933487,8.4458994,Mühleackerstrasse 19 <br>8952 Schlieren
,Baugenossenschaft SVEA,,Zürich,47.2873922,8.5639791,Etzelstrasse 5 <br>8800 Thalwil
AS Sonnental,Genossenschaft Sonnental Uster,,Zürich,47.3423915,8.7159291,Sonnentalweg 6 <br>8610 Uster
,Mieter-Baugenossenschaft Wädenswil,,Zürich,47.229193,8.670211,Türgass 3 <br>8820 Wädenswil
Wiedikon,Allgemeine Baugenossenschaft Zürich (ABZ),,Zürich,47.3708459,8.5115325,Gertrudstrasse 103 <br>8003 Zürich
Entlisberg III,Allgemeine Baugenossenschaft Zürich (ABZ),,Zürich,47.3379683,8.5258598,Marchwartstrasse 22 <br>8038 Zürich
"Im Moos I (Balber-, Marchwart-, Moostr., Hauriweg)",Allgemeine Baugenossenschaft Zürich (ABZ),,Zürich,47.3362581,8.5288749,Moosstrasse 60 <br>8038 Zürich
"Im Moos I (Balber-, Marchwart-, Moostr., Hauriweg)",Allgemeine Baugenossenschaft Zürich (ABZ),,Zürich,47.3356762,8.5286753,Moosstrasse 74 <br>8038 Zürich
"Im Moos I (Balber-, Marchwart-, Moostr., Hauriweg)",Allgemeine Baugenossenschaft Zürich (ABZ),,Zürich,47.3353123,8.5286676,Moosstrasse 80 <br>8038 Zürich
Herrlig Altstetten,Allgemeine Baugenossenschaft Zürich (ABZ),,Zürich,47.3905406,8.4835699,Robert-Seidel-Hof 11 <br>8048 Zürich
"Waidfussweg II (Waidfussweg, Trottenstr.)",Allgemeine Baugenossenschaft Zürich (ABZ),,Zürich,47.396385,8.5180743,Waidfussweg 36 <br>8037 Zürich
"Am Glattbogen (Wallisellenstr. 401-439, Am Glattbogen 2-132, 138-172, 7-145)",ASIG Wohngenossenschaft,,Zürich,47.4125087,8.5651386,Am Glattbogen 107 <br>8050 Zürich
"Am Glattbogen (Wallisellenstr. 401-439, Am Glattbogen 2-132, 138-172, 7-145)",ASIG Wohngenossenschaft,,Zürich,47.411615,8.5669084,Am Glattbogen 138 <br>8050 Zürich
"Dreispitz (Dreispitz 17-19, 35, Wallisellenstr. 352, Dreispitz 21)",ASIG Wohngenossenschaft,,Zürich,47.4103546,8.5651724,Dreispitz 21 <br>8050 Zürich
"Dreispitz I (Dreispitz 2-22, 56-140, 184-200, 43-231, 250-320, Wallisellenstr. 362-386, 406-472, Saatlenstr. 120-140, 164-228)",ASIG Wohngenossenschaft,,Zürich,47.4097254,8.5660468,Dreispitz 110 <br>8050 Zürich
"Glattstegweg (Glattstegweg 56-94, Heidwiesen 1-9)",ASIG Wohngenossenschaft,,Zürich,47.4085637,8.5754889,Luegislandstrasse 334 <br>8051 Zürich
"Saatlen (Dreispitz 265-269, Saatlenstr. 98-110)",ASIG Wohngenossenschaft,,Zürich,47.4077385,8.5660108,Saatlenstrasse 98 <br>8050 Zürich
Luegislandstr. (BAHOGE),BAHOGE Wohnbaugenossenschaft,,Zürich,47.4086501,8.5693102,Luegislandstrasse 137 <br>8051 Zürich
"5. Et. (Luegisland-, Winterthurerstr.)",Bau- und Siedlungsgenossenschaft VITASANA,,Zürich,47.4073227,8.5808096,Luegislandstrasse 545 <br>8051 Zürich
Et. 3,Baugenossenschaft Brunnenhof Zürich,,Zürich,47.4057886,8.5329719,Künzlistrasse 27 <br>8057 Zürich
Et. 1a/1b (Wehntalerstr.),Baugenossenschaft Brunnenhof Zürich,,Zürich,47.4075135,8.5322521,Künzlistrasse 46 <br>8057 Zürich
"Et. 2b (Hoffeld-, Künzlistr., Goldregenweg)",Baugenossenschaft Brunnenhof Zürich,,Zürich,47.407877,8.531862,Künzlistrasse 54 <br>8057 Zürich
Guggach 3 (Grebelackerstr. 27-39),Baugenossenschaft der Strassenbahner Zürich,,Zürich,47.3990808,8.5365038,Grebelackerstrasse 31 <br>8057 Zürich
Guggach 8,Baugenossenschaft der Strassenbahner Zürich,,Zürich,47.400369,8.5320258,Käferholzstrasse 10 <br>8057 Zürich
Industrie 3,BEP Baugenossenschaft des eidgenössischen Personals,,Zürich,47.3866476,8.5262478,Heinrichstrasse 143 <br>8005 Zürich
Wasserwerk 1,BEP Baugenossenschaft des eidgenössischen Personals,,Zürich,47.3907039,8.5293216,Imfeldstrasse 89 <br>8037 Zürich
Suteracher V (Am Suteracher),Baugenossenschaft Frohheim Zürich (BGF),,Zürich,47.3902663,8.4710474,Am Suteracher 42 <br>8048 Zürich
Suteracher IV (Am Suteracher),Baugenossenschaft Frohheim Zürich (BGF),,Zürich,47.390354,8.4697481,Am Suteracher 45 <br>8048 Zürich
"1. Et. (Binderweg, Binzmühle-, Kügeliloostr., Zelghalde)",Baugenossenschaft GISA,,Zürich,47.4138858,8.5289905,Zelghalde 33a <br>8046 Zürich
"1. Et. (Binderweg, Binzmühle-, Kügeliloostr., Zelghalde)",Baugenossenschaft GISA,,Zürich,47.4140032,8.5289399,Zelghalde 35a <br>8046 Zürich
Altwiesen,Baugenossenschaft Glattal Zürich,,Zürich,47.4038685,8.5780857,Altwiesenstrasse 15 <br>8051 Zürich
Winterthurer-/Dübendorfstrasse,Baugenossenschaft Glattal Zürich,,Zürich,47.4041607,8.5748988,Dübendorfstrasse 7 <br>8051 Zürich
Kronwiesen III,Baugenossenschaft Glattal Zürich,,Zürich,47.404866,8.5809159,Kronwiesenstrasse 95 <br>8051 Zürich
Kronwiesen III,Baugenossenschaft Glattal Zürich,,Zürich,47.4044489,8.5812514,Kronwiesenstrasse 96 <br>8051 Zürich
Luchswiesen I,Baugenossenschaft Glattal Zürich,,Zürich,47.4021652,8.5855344,Luchswiesenstrasse 23 <br>8051 Zürich
Lerchenberg,Baugenossenschaft Hagenbrünneli,,Zürich,47.4127177,8.5076717,Lerchenberg 21 <br>8046 Zürich
Lerchenberg,Baugenossenschaft Hagenbrünneli,,Zürich,47.4125426,8.5100667,Lerchenhalde 2 <br>8046 Zürich
Hirschwiese,Baugenossenschaft Hagenbrünneli,,Zürich,47.4005187,8.5441909,Schaffhauserstrasse 194 <br>8057 Zürich
Staudenbühl,Baugenossenschaft Hagenbrünneli,,Zürich,47.4201604,8.5359745,Seebacherstrasse 165 <br>8052 Zürich
9. Et. (Badenerstr. 634-636),Baugenossenschaft Halde Zürich,,Zürich,47.3872598,8.4902473,Badenerstrasse 634 <br>8048 Zürich
"16. Etappe, KIGA",Baugenossenschaft Halde Zürich,,Zürich,47.3911189,8.4742827,Dachslernstrasse 80 <br>8048 Zürich
"8. Et. (Glättlistr. 1-3, Schlierenberg 31-33, 34, 35, 36, Eugen-Huber-str. 100, 108-110, 116-120)",Baugenossenschaft Halde Zürich,,Zürich,47.3876821,8.4763616,Eugen-Huber-Strasse 100 <br>8048 Zürich
Baufeld C,Baugenossenschaft Im Gut,,Zürich,47.3717507,8.5070885,Gutstrasse 86 <br>8055 Zürich
Baufeld B,Baugenossenschaft Im Gut,,Zürich,47.3729749,8.5050474,Gutstrasse 128 <br>8055 Zürich
Baufeld A,Baugenossenschaft Im Gut,,Zürich,47.3737611,8.5036727,Gutstrasse 152 <br>8055 Zürich
